# z,H(z)
6.432160804020100597e-01,7.917715403618523625e-19
6.532663316582915103e-01,7.899813758551720954e-19
6.633165829145728498e-01,7.881912113484918284e-19
6.733668341708543004e-01,7.864010468418115614e-19
6.834170854271356399e-01,7.846108823351312943e-19
6.934673366834170904e-01,7.828207178284510273e-19
7.035175879396985410e-01,7.810305533217707602e-19
7.135678391959798805e-01,7.792403888150904932e-19
7.236180904522613311e-01,7.774502243084102262e-19
7.336683417085426706e-01,7.756600598017299591e-19
7.437185929648241212e-01,7.738698952950496921e-19
7.537688442211055717e-01,7.720797307883694250e-19
7.638190954773869112e-01,7.702895662816892543e-19
7.738693467336683618e-01,7.684994017750088910e-19
7.839195979899498123e-01,7.667092372683287202e-19
7.939698492462311519e-01,7.649190727616483569e-19
8.040201005025126024e-01,7.631289082549681861e-19
8.140703517587939420e-01,7.613387437482879191e-19
8.241206030150753925e-01,7.595485792416076521e-19
8.341708542713568431e-01,7.577584147349273850e-19
8.442211055276381826e-01,7.559682502282471180e-19
8.542713567839196331e-01,7.541780857215668509e-19
8.643216080402009727e-01,7.523879212148865839e-19
8.743718592964824232e-01,7.505977567082063169e-19
8.844221105527638738e-01,7.488075922015260498e-19
8.944723618090452133e-01,7.470174276948457828e-19
9.045226130653266639e-01,7.452272631881655157e-19
9.145728643216080034e-01,7.434370986814852487e-19
9.246231155778894539e-01,7.416469341748049817e-19
9.346733668341709045e-01,7.398567696681247146e-19
9.447236180904522440e-01,7.380666051614444476e-19
9.547738693467336946e-01,7.362764406547641805e-19
9.648241206030150341e-01,7.344862761480839135e-19
9.748743718592964846e-01,7.326961116414037427e-19
9.849246231155779352e-01,7.309059471347233794e-19
9.949748743718592747e-01,7.291157826280432087e-19
1.005025125628140614e+00,7.273256181213629416e-19
1.015075376884422065e+00,7.255354536146826746e-19
1.025125628140703515e+00,7.237452891080023113e-19
1.035175879396984966e+00,7.219551246013221405e-19
1.045226130653266416e+00,7.201649600946417772e-19
1.055276381909547645e+00,7.183747955879616064e-19
1.065326633165829096e+00,7.165846310812813394e-19
1.075376884422110546e+00,7.147944665746010723e-19
1.085427135678391997e+00,7.130043020679208053e-19
1.095477386934673447e+00,7.112141375612405383e-19
1.105527638190954898e+00,7.094239730545602712e-19
1.115577889447236126e+00,7.076338085478800042e-19
1.125628140703517577e+00,7.058436440411997371e-19
1.135678391959799027e+00,7.040534795345194701e-19
1.145728643216080478e+00,7.022633150278392031e-19
1.155778894472361928e+00,7.004731505211589360e-19
1.165829145728643157e+00,6.986829860144786690e-19
1.175879396984924607e+00,6.968928215077984019e-19
1.185929648241206058e+00,6.951026570011181349e-19
1.195979899497487509e+00,6.933124924944378679e-19
1.206030150753768959e+00,6.915223279877576008e-19
1.216080402010050188e+00,6.897321634810773338e-19
1.226130653266331638e+00,6.879419989743971630e-19
1.236180904522613089e+00,6.861518344677167997e-19
1.246231155778894539e+00,6.843616699610366290e-19
1.256281407035175990e+00,6.825715054543562656e-19
1.266331658291457218e+00,6.805790016312059534e-19
1.276381909547738669e+00,6.778159135850191257e-19
1.286432160804020119e+00,6.750528255388323944e-19
1.296482412060301570e+00,6.722897374926455667e-19
1.306532663316583021e+00,6.695266494464588353e-19
1.316582914572864249e+00,6.667635614002721039e-19
1.326633165829145700e+00,6.640004733540853726e-19
