z,H_km_s_Mpc,H_km_s_Mpc_normalized
-0.9989604174236298,0.0009357128209729,0.002830111311798216
-0.9989603809954553,0.0009357515067195,0.0028302283188185364
-0.998960345558815,0.0009357966524922,0.0028303648645183863
-0.998960310667702,0.000935848912286,0.0028305229269391104
-0.9989602759544254,0.0009359075741188,0.002830700352654412
-0.9989602410404904,0.0009359709189648,0.002830891942382789
-0.9989602054205072,0.0009360366602733,0.0028310907803346347
-0.9989601683991678,0.0009361022606892,0.0028312891921496016
-0.998960128958523,0.0009361652239672,0.002831479627806036
-0.9989600892465468,0.0009362189846539,0.0028316422297541438
-0.9989600360591137,0.0009362762818843,0.0028318155281596533
-0.9989599925516603,0.0009363148546257,0.002831932193389964
-0.998959953079382,0.0009363489508996,0.002832035319315239
-0.9989599157979724,0.0009363849658367,0.002832144248335549
-0.9989598798339764,0.0009364263748995,0.002832269492165082
-0.9989598446500236,0.0009364747267862,0.002832415734920796
-0.9989598098450252,0.000936530037311,0.00283258302443355
-0.9989597750609852,0.0009365910936442,0.002832767692437849
-0.99895973986435,0.000936655891633,0.0028329636772709884
-0.9989597036945912,0.0009367219648016,0.00283316351895069
-0.9989596655775176,0.0009367870078552,0.0028333602449948578
-0.9989596238705812,0.0009368491162806,0.0028335480951058563
-0.9989595816335398,0.0009369008051223,0.002833704430652736
-0.9989595331879132,0.000936948413392,0.0028338484243007798
-0.9989594914950723,0.0009369843130316,0.0028339570045979004
-0.9989594529454884,0.0009370186191187,0.002834060765113936
-0.9989594161982828,0.0009370564151627,0.0028341750811832133
-0.998959380543201,0.0009371003939145,0.0028343080971686293
-0.9989593455084108,0.0009371514932788,0.0028344626498109458
-0.998959310717392,0.0009372092290578,0.002834637274629139
-0.9989592758091638,0.0009372720147394,0.0028348271731361728
-0.9989592402890756,0.0009373376723512,0.0028350257579430665
-0.9989592035334016,0.0009374036288074,0.0028352252466201412
-0.9989591646734992,0.0009374672439128,0.0028354176537619034
-0.9989591256764504,0.0009375220810667,0.0028355835115401458
-0.9989590810511444,0.0009375732256653,0.0028357382009959174
-0.9989590350546894,0.0009376161209982,0.002835867940125427
-0.998958994372077,0.0009376509419471,0.0028359732578673246
-0.9989589563637158,0.0009376858525487,0.002836078846768401
-0.9989589199298664,0.0009377251832879,0.0028361978046018478
-0.9989588844462938,0.0009377711143635,0.0028363367254905063
-0.9989588494763608,0.000937824171808,0.002836497200446592
-0.9989588146545604,0.0009378835382494,0.002836676757286663
-0.9989587795922916,0.0009379474258394,0.002836869988572042
-0.9989587437758548,0.0009380135012179,0.002837069836935699
-0.998958706469869,0.000938079239185,0.0028372686647813094
-0.998958666581796,0.0009381422007167,0.0028374590951559696
-0.9989586264491792,0.0009381956242994,0.0028376206775157786
-0.998958578616678,0.0009382468229766,0.0028377755305350437
-0.9989585347560768,0.0009382858983647,0.002837893716046021
-0.9989584950524616,0.0009383201538207,0.0028379973234257034
-0.9989584575910412,0.0009383561595246,0.0028381062245197283
-0.9989584214760222,0.0009383974829033,0.002838231209193315
-0.9989583861607249,0.0009384457441593,0.0028383771778318395
-0.9989583512399088,0.0009385010116429,0.002838544337164281
-0.998958316354446,0.0009385621092619,0.0028387291300395953
-0.9989582810754332,0.0009386270483636,0.002838925541675922
-0.9989582448483044,0.0009386933675806,0.0028391261275416005
-0.9989582067327828,0.0009387587167673,0.0028393237795009954
-0.9989581651711849,0.0009388211005779,0.0028395124625286245
-0.9989581231157229,0.0009388731396322,0.0028396698573114345
-0.9989580740690712,0.0009389218066623,0.00283981705323449
-0.9989580320655204,0.0009389580725056,0.002839926741133442
-0.9989579932979114,0.0009389924541846,0.0028400307302810473
-0.9989579563770128,0.000939030180727,0.0028401448361391785
-0.9989579205752336,0.0009390740363351,0.0028402774796701716
-0.9989578854131848,0.0009391250274225,0.0028404317048234635
-0.9989578505111916,0.0009391827240997,0.002840606211376262
-0.9989578155087604,0.0009392455725747,0.0028407962998051473
-0.9989577799172292,0.0009393114056258,0.0028409954152371817
-0.9989577431238558,0.000939377647093,0.002841195765944611
-0.9989577042867528,0.0009394416244856,0.00284138926884255
-0.9989576653234314,0.0009394969264961,0.0028415565326033675
-0.99895762101299,0.0009395483206872,0.002841711976964429
-0.9989575744681688,0.0009395921299438,0.0028418444803029385
-0.9989575334793116,0.0009396272462834,0.0028419506914691244
-0.9989574952511062,0.0009396621634265,0.002842056300155303
-0.9989574586418724,0.0009397013577911,0.0028421748455167927
-0.998957423011328,0.000939747107502,0.0028423132178586347
-0.9989573879157866,0.0009398000150141,0.002842473239336504
-0.9989573529871828,0.0009398593223665,0.00284265261745887
-0.9989573178417308,0.0009399232714452,0.0028428460347199695
-0.9989572819690732,0.0009399895460247,0.0028430464855772448
-0.998957244656947,0.0009400556012598,0.0028432462730161572
-0.998957204855255,0.0009401189495424,0.0028434378731387066
-0.9989571647702458,0.0009401729464691,0.002843601189606784
-0.9989571115571388,0.000940230004889,0.0028437737657177158
-0.998957067897154,0.0009402686730772,0.002843890719631757
-0.9989570282361012,0.0009403030200359,0.0028439946037660383
-0.9989569907549244,0.000940339396049,0.002844104624879189
-0.9989569545861052,0.0009403812520744,0.002844231220569978
-0.998956919193588,0.0009404301113584,0.002844378997974792
-0.9989568841759006,0.0009404859632035,0.002844547924738495
-0.998956849173573,0.0009405475666315,0.0028447342474590145
-0.99895681374859,0.0009406128996152,0.0028449318504116068
-0.99895677733531,0.0009406794720143,0.0028451332020395033
-0.998956738943119,0.0009407449798022,0.002845331333696344
-0.9989566968936144,0.0009408075333227,0.00284552053002025
-0.998956654300032,0.0009408595627661,0.0028456778957344016
-0.9989566056678746,0.0009409072965276,0.0028458222689388166
-0.9989565637586952,0.0009409434140169,0.002845931508133504
-0.9989565249908116,0.0009409779999212,0.0028460361149709804
-0.9989564880269404,0.0009410161382088,0.0028461514661735393
-0.9989564521566638,0.0009410605189511,0.0028462856979997943
-0.9989564169071532,0.0009411120677662,0.0028464416100290563
-0.9989563819005572,0.0009411702901786,0.0028466177066948707
-0.9989563467737622,0.0009412335818734,0.0028468091356647234
-0.9989563110294244,0.0009412997464246,0.0028470092537357748
-0.9989562740397968,0.000941366197014,0.0028472102369439998
-0.9989562349304278,0.0009414302778824,0.002847404052809791
-0.9989561956827464,0.0009414855120725,0.0028475711114443383
-0.998956150765197,0.0009415370341958,0.002847726942742885
-0.998956104485238,0.0009415802413517,0.002847857624997015
-0.998956063547942,0.0009416153292957,0.002847963750279256
-0.9989560253006524,0.0009416505094979,0.002848070154601144
-0.9989559886377088,0.0009416901398701,0.002848190018689933
-0.9989559529314722,0.000941736415073,0.002848329980409221
-0.9989559177430072,0.000941789862717,0.0028484916355436627
-0.9989558827050584,0.0009418496668642,0.0028486725162473244
-0.9989558474277196,0.0009419140266376,0.002848867175675561
-0.998955811395376,0.0009419805998835,0.0028490685298646476
-0.9989557738722584,0.0009420468415997,0.00284926888132519
-0.9989557337611088,0.0009421103034629,0.0028494608249780766
-0.9989556933482936,0.000942164251183,0.002849623992618274
-0.9989556404619768,0.0009422204733656,0.002849794039486698
-0.9989555968572168,0.0009422589795504,0.0028499105034131655
-0.998955557167556,0.0009422934456922,0.002850014748022832
-0.99895551962492,0.0009423301048173,0.0028501256254227143
-0.998955483376714,0.000942372343019,0.0028502533770252804
-0.998955447892292,0.000942421630771,0.0028504024503534877
-0.9989554127718552,0.0009424779105967,0.002850572671566417
-0.998955377655299,0.0009425399051895,0.0028507601773848914
-0.9989553420987636,0.0009426055661407,0.0028509587722919715
-0.9989553055293382,0.0009426723903402,0.0028511608855030634
-0.998955266924744,0.0009427380963741,0.0028513596167650764
-0.9989552245297998,0.0009428008588105,0.0028515494449658134
-0.9989551815596992,0.0009428529770225,0.002851707079165138
-0.9989551330864272,0.0009429002823262,0.0028518501564770106
-0.9989550911710224,0.0009429363851871,0.0028519593514273536
-0.9989550523489564,0.0009429711520306,0.0028520645055247
-0.99895501530956,0.0009430095920917,0.002852180769456653
-0.998954979350988,0.0009430543447623,0.0028523161261990843
-0.9989549440034632,0.0009431062960291,0.002852473255464108
-0.9989549088896912,0.0009431649094897,0.0028526505348752157
-0.9989548736432032,0.0009432285564118,0.0028528430382482157
-0.9989548377640614,0.0009432950152697,0.002853044046464942
-0.998954800613914,0.0009433616911499,0.002853245711076721
-0.998954761298906,0.0009434259397355,0.0028534400342117667
-0.9989547218383372,0.0009434812328557,0.0028536072710834168
-0.9989546765222632,0.0009435329203379,0.002853763602518419
-0.9989546303093778,0.0009435758961268,0.0028538935849912175
-0.9989545893376516,0.0009436110399281,0.0028539998792167206
-0.9989545510230116,0.0009436464297952,0.0028541069176808284
-0.9989545142768684,0.0009436863671944,0.0028542277103884906
-0.998954478477317,0.0009437330041539,0.0028543687662591277
-0.9989544431873276,0.0009437868338918,0.002854531577056124
-0.998954408039604,0.0009438470053735,0.002854713568781779
-0.9989543726405684,0.0009439116972969,0.0028549092328146886
-0.9989543364711948,0.0009439785430593,0.0028551114112438753
-0.9989542987825736,0.0009440450033881,0.002855312423909414
-0.998954258451385,0.0009441086414775,0.0028555049005674605
-0.998954217808496,0.0009441626686183,0.0028556683084196293
-0.9989541649976236,0.0009442185918251,0.002855837451020446
-0.9989541213478016,0.0009442570990102,0.002855953917972372
-0.9989540815792242,0.0009442916940681,0.0028560585524953805
-0.9989540439453468,0.0009443285660926,0.0028561700738203933
-0.9989540075994356,0.0009443710727764,0.0028562986374608104
-0.9989539720126668,0.0009444206648469,0.0028564486312158944
-0.9989539367854972,0.0009444772606555,0.0028566198081352748
-0.9989539015570716,0.0009445395627238,0.002856808243929134
-0.9989538658802624,0.0009446055090247,0.0028570077018909845
-0.9989538291782016,0.0009446725843854,0.002857210574751979
-0.9989537904133794,0.0009447385166732,0.0028574099903304908
-0.9989537477946322,0.0009448015033797,0.002857600496847622
-0.9989537045866524,0.0009448537766572,0.002857758600050487
-0.9989536560853808,0.0009449010181707,0.002857901484425635
-0.9989536140879796,0.0009449371997743,0.0028580109175373038
-0.9989535751704612,0.0009449721205565,0.002858116537230126
-0.9989535380304606,0.0009450107707936,0.0028582334368501467
-0.9989535019683494,0.0009450557754669,0.0028583695557876407
-0.998953466514794,0.0009451080026054,0.0028585275194407387
-0.9989534312921492,0.0009451669038431,0.002858705669248412
-0.9989533959322128,0.0009452308344688,0.0028588990306974683
-0.998953359933327,0.0009452975596982,0.002859100844568428
-0.99895332265267,0.0009453644809501,0.0028593032513194705
-0.9989532831887512,0.0009454289464228,0.0028594982304406494
-0.9989532435767464,0.0009454844023492,0.002859665959727983
-0.9989531980418084,0.000945536275065,0.0028598228514114875
-0.9989531517429684,0.0009455793022567,0.0028599529893546852
-0.9989531106681996,0.0009456145606211,0.002860059630082147
-0.9989530722472372,0.0009456501082896,0.0028601671458246642
-0.9989530353939908,0.0009456902417369,0.002860288531489838
-0.9989529994868844,0.000945737106356,0.0028604302759285857
-0.9989529640885694,0.0009457911865112,0.0028605938441255206
-0.9989529288310952,0.0009458516201663,0.002860776628808041
