z,Hz
1.407035175879397,6.418957689845912e-19
1.4170854271356783,6.391326809384045e-19
1.4271356783919595,6.363695928922178e-19
1.4371859296482412,6.33606504846031e-19
1.4472361809045227,6.308434167998442e-19
1.457286432160804,6.280803287536576e-19
1.4673366834170851,6.2531724070747075e-19
1.4773869346733668,6.22554152661284e-19
1.4874371859296482,6.197910646150972e-19
1.4974874371859297,6.170279765689105e-19
1.5075376884422111,6.142648885227236e-19
1.5175879396984924,6.115018004765369e-19
1.5276381909547738,6.087387124303502e-19
1.5376884422110553,6.059756243841633e-19
1.5477386934673367,6.032125363379767e-19
1.557788944723618,6.004494482917899e-19
1.5678391959798996,5.976863602456032e-19
1.5778894472361809,5.949232721994164e-19
1.5879396984924623,5.921601841532296e-19
1.5979899497487435,5.893970961070429e-19
1.6080402010050252,5.866340080608561e-19
