Time,phi(t),phidot(t),H(t)
0.773873873873874,3.999999995507452,-1.333322067234387e-08,6.179266498562952e-05
0.7837837837837839,3.9999999953743495,-1.3529285020184408e-08,6.179266498562862e-05
0.7936936936936938,3.999999995239304,-1.3725349007847268e-08,6.179266498562771e-05
0.8036036036036036,3.9999999951023155,-1.3921412635333222e-08,6.179266498562677e-05
0.8135135135135135,3.999999994963384,-1.4117475902643045e-08,6.179266498562578e-05
0.8234234234234235,3.9999999948225096,-1.4313538809777515e-08,6.179266498562479e-05
0.8333333333333334,3.9999999946796923,-1.4509601356737401e-08,6.179266498562376e-05
0.8432432432432433,3.999999994534932,-1.4705663543523479e-08,6.17926649856227e-05
0.8531531531531532,3.9999999943882285,-1.4901725370136522e-08,6.17926649856216e-05
0.8630630630630631,3.9999999942395825,-1.5097786836577307e-08,6.179266498562049e-05
