Unnamed: 0,z,H_natural,H_obs
754,-0.9948613241287644,0.0001490329491384,0.0910553276824293
753,-0.9948567420791398,0.0001491928692067,0.0911530347619938
752,-0.9948521366186164,0.0001493076472441,0.0912231612130269
751,-0.9948475410923204,0.0001495921217087,0.0913969678493419
750,-0.9948429133511576,0.0001498054151839,0.0915272847181453
749,-0.994838286246678,0.0001500815057532,0.0916959690084218
748,-0.9948336366477328,0.0001501923971553,0.0917637208244886
747,-0.9948290041355512,0.0001503774978082,0.0918768125985023
746,-0.9948243445423772,0.0001504885140178,0.0919446406687051
745,-0.9948196850498447,0.0001507710151761,0.0921172416653002
744,-0.9948150120025896,0.0001510235879674,0.0922715571935144
743,-0.9948103128117874,0.0001512279920249,0.0923964428550263
742,-0.9948056117876444,0.0001513830132112,0.0924911568427254
741,-0.994800894412545,0.0001515022028007,0.0925639786394739
740,-0.994796177101738,0.000151710811609,0.0926914332963503
739,-0.9947914389963975,0.0001519551251546,0.0928407026363344
738,-0.9947867025757376,0.0001522596415314,0.0930267543694319
737,-0.9947819369924384,0.0001524266372182,0.0931287844713275
736,-0.9947771761726524,0.0001526046309266,0.0932375340836155
735,-0.9947723923649464,0.0001527032656716,0.0932977973950687
734,-0.9947676163158854,0.0001529610906299,0.093455321863269
733,-0.9947628105238696,0.0001531864348363,0.0935930014212163
732,-0.9947580060286846,0.0001535027384781,0.0937862548723567
731,-0.9947531756429904,0.0001536521436691,0.0938775376302898
730,-0.9947483510164088,0.0001538372951362,0.0939906604505097
729,-0.9947435038194152,0.000153937839955,0.0940520907682538
728,-0.9947386620975144,0.000154218252374,0.0942234155983922
727,-0.994733795702341,0.0001544555759823,0.0943684142651141
726,-0.9947289190081674,0.0001547500134261,0.094548308027429
725,-0.9947240270505788,0.0001549054431699,0.0946432716333806
724,-0.994719138205863,0.0001550729014404,0.0947455843620395
723,-0.9947142406402708,0.000155222635958,0.094837068330146
722,-0.9947093217345142,0.0001554515406122,0.0949769232308024
721,-0.9947044085311252,0.0001557752010625,0.0951746715041337
720,-0.9946994548572778,0.000155970496894,0.0952939922720324
719,-0.994694504980542,0.0001561821240623,0.0954232910698592
718,-0.9946895312510072,0.0001562769442766,0.0954812238003714
717,-0.9946845631549044,0.0001565039820016,0.0956199380549148
716,-0.9946795680637324,0.0001567256892256,0.0957553955094603
715,-0.994674578730639,0.0001570752402359,0.0959689622540679
714,-0.9946695571522014,0.0001572614475776,0.0960827301866672
