z,H_km_s_Mpc
-0.9989602410404905,0.0009359709189648965
-0.9989602054205073,0.0009360366602733221
-0.9989601683991678,0.000936102260689221
-0.998960128958523,0.0009361652239672394
-0.9989600892465467,0.0009362189846539379
-0.9989600360591137,0.0009362762818843236
-0.9989599925516605,0.0009363148546257068
-0.9989599530793821,0.0009363489508996128
-0.9989599157979723,0.0009363849658367548
-0.9989598798339765,0.0009364263748995146
-0.9989598446500236,0.0009364747267862852
-0.9989598098450253,0.0009365300373110022
-0.9989597750609852,0.0009365910936442683
-0.9989597398643499,0.0009366558916330146
-0.9989597036945913,0.0009367219648016154
-0.9989596655775175,0.0009367870078552302
-0.9989596238705811,0.0009368491162806289
-0.9989595816335398,0.0009369008051223896
-0.9989595331879133,0.0009369484133920534
-0.9989594914950725,0.0009369843130316276
-0.9989594529454883,0.0009370186191187906
-0.9989594161982828,0.0009370564151627524
-0.998959380543201,0.0009371003939145743
-0.9989593455084109,0.0009371514932788562
-0.9989593107173919,0.0009372092290578459
-0.9989592758091638,0.0009372720147394659
-0.9989592402890756,0.0009373376723512129
-0.9989592035334017,0.0009374036288074335
-0.9989591646734993,0.0009374672439128832
-0.9989591256764503,0.0009375220810667267
-0.9989590810511444,0.0009375732256653153
-0.9989590350546894,0.0009376161209982318
-0.998958994372077,0.0009376509419471754
-0.9989589563637158,0.0009376858525487211
-0.9989589199298664,0.0009377251832879309
-0.9989588844462938,0.0009377711143635219
-0.9989588494763609,0.0009378241718080311
-0.9989588146545603,0.0009378835382494707
-0.9989587795922916,0.0009379474258394042
-0.9989587437758547,0.0009380135012179365
-0.998958706469869,0.000938079239185058
-0.998958666581796,0.0009381422007167536
-0.9989586264491792,0.0009381956242994182
-0.998958578616678,0.0009382468229766195
-0.9989585347560767,0.0009382858983647573
-0.9989584950524615,0.0009383201538207262
-0.9989584575910411,0.0009383561595246928
-0.9989584214760222,0.0009383974829033627
-0.9989583861607249,0.0009384457441593101
-0.9989583512399087,0.0009385010116429954
-0.9989583163544461,0.0009385621092619437
-0.9989582810754332,0.0009386270483636822
-0.9989582448483043,0.0009386933675806599
-0.9989582067327827,0.0009387587167673465
-0.9989581651711847,0.0009388211005779927
-0.9989581231157229,0.0009388731396322204
-0.9989580740690713,0.0009389218066623878
-0.9989580320655204,0.0009389580725056753
-0.9989579932979114,0.0009389924541846308
-0.9989579563770129,0.0009390301807270167
-0.9989579205752337,0.0009390740363351524
-0.9989578854131848,0.000939125027422575
-0.9989578505111915,0.0009391827240997872
-0.9989578155087605,0.0009392455725747034
-0.9989577799172293,0.0009393114056258151
-0.9989577431238558,0.0009393776470930675
-0.9989577042867528,0.0009394416244856605
-0.9989576653234314,0.0009394969264961442
-0.9989576210129899,0.0009395483206872627
-0.9989575744681688,0.0009395921299438233
-0.9989575334793117,0.0009396272462834953
-0.9989574952511062,0.0009396621634265514
-0.9989574586418724,0.0009397013577911663
-0.998957423011328,0.000939747107502005
-0.9989573879157866,0.0009398000150141512
-0.9989573529871828,0.0009398593223665743
-0.9989573178417309,0.0009399232714452253
-0.9989572819690733,0.0009399895460247419
-0.998957244656947,0.0009400556012598097
-0.998957204855255,0.00094011894954241
-0.9989571647702458,0.000940172946469144
-0.9989571115571388,0.0009402300048890386
-0.998957067897154,0.0009402686730772239
-0.9989570282361011,0.0009403030200359222
-0.9989569907549245,0.0009403393960490516
-0.9989569545861052,0.0009403812520744061
-0.998956919193588,0.0009404301113584668
-0.9989568841759006,0.0009404859632035261
-0.998956849173573,0.0009405475666315525
-0.9989568137485901,0.000940612899615293
-0.9989567773353099,0.0009406794720143011
-0.998956738943119,0.0009407449798022741
-0.9989566968936143,0.0009408075333227601
-0.9989566543000321,0.0009408595627661775
-0.9989566056678746,0.0009409072965276894
-0.9989565637586951,0.0009409434140169429
-0.9989565249908117,0.0009409779999212474
-0.9989564880269405,0.0009410161382088904
-0.9989564521566638,0.0009410605189511826
-0.9989564169071532,0.0009411120677662815
-0.9989563819005571,0.0009411702901786166
-0.9989563467737622,0.0009412335818734168
-0.9989563110294243,0.000941299746424663
-0.9989562740397968,0.0009413661970140821
-0.9989562349304278,0.0009414302778824756
-0.9989561956827464,0.0009414855120725949
