z,H(z),H(z)_phys
1.9138317048327889,4.241103405421977e+26,3.346654697218482e+34
1.9680586086656024,4.241103405421977e+26,3.346654697218482e+34
2.0232946844057764,4.241103405421977e+26,3.346654697218482e+34
2.079558712914224,4.241103405421977e+26,3.346654697218482e+34
2.13686982456688,4.241103405421977e+26,3.346654697218482e+34
2.195247505759214,4.241103405421977e+26,3.346654697218482e+34
2.254711605531848,4.241103405421977e+26,3.346654697218482e+34
2.315282342319424,4.241103405421977e+26,3.346654697218482e+34
2.3769803108250884,4.241103405421977e+26,3.346654697218482e+34
2.4398264890229284,4.241103405421977e+26,3.346654697218482e+34
2.503842245290676,4.241103405421977e+26,3.346654697218482e+34
2.569049345675229,4.241103405421977e+26,3.346654697218482e+34
2.635469961293317,4.241103405421977e+26,3.346654697218482e+34
2.703126675869931,4.241103405421977e+26,3.346654697218482e+34
2.772042493417002,4.241103405421977e+26,3.346654697218482e+34
2.842240846055061,4.241103405421977e+26,3.346654697218482e+34
2.913745601980384,4.241103405421977e+26,3.346654697218482e+34
2.986581073580439,4.241103405421977e+26,3.346654697218482e+34
3.060772025700369,4.241103405421977e+26,3.346654697218482e+34
3.136343684063277,4.241103405421977e+26,3.346654697218482e+34
3.213321743847289,4.241103405421977e+26,3.346654697218482e+34
3.2917323784221573,4.241103405421977e+26,3.346654697218482e+34
3.371602248248502,4.241103405421977e+26,3.346654697218482e+34
3.4529585099426603,4.241103405421977e+26,3.346654697218482e+34
3.5358288255101904,4.241103405421977e+26,3.346654697218482e+34
3.620241371751313,4.241103405421977e+26,3.346654697218482e+34
3.7062248498412815,4.241103405421977e+26,3.346654697218482e+34
3.793808495089107,4.241103405421977e+26,3.346654697218482e+34
3.883022086877885,4.241103405421977e+26,3.346654697218482e+34
3.973895958790069,4.241103405421977e+26,3.346654697218482e+34
4.066461008921269,4.241103405421977e+26,3.346654697218482e+34
4.160748710385908,4.241103405421977e+26,3.346654697218482e+34
4.256791122018419,4.241103405421977e+26,3.346654697218482e+34
4.354620899273613,4.241103405421977e+26,3.346654697218482e+34
4.454271305329836,4.241103405421977e+26,3.346654697218482e+34
4.555776222398877,4.241103405421977e+26,3.346654697218482e+34
4.659170163246243,4.241103405421977e+26,3.346654697218482e+34
4.764488282925874,4.241103405421977e+26,3.346654697218482e+34
4.871766390733262,4.241103405421977e+26,3.346654697218482e+34
4.981040962380945,4.241103405421977e+26,3.346654697218482e+34
5.092349152400712,4.241103405421977e+26,3.346654697218482e+34
5.2057288067765,4.241103405421977e+26,3.346654697218482e+34
5.321218475812448,4.241103405421977e+26,3.346654697218482e+34
5.438857427240427,4.241103405421977e+26,3.346654697218482e+34
5.558685659571436,4.241103405421977e+26,3.346654697218482e+34
5.680743915695614,4.241103405421977e+26,3.346654697218482e+34
5.805073696735208,4.241103405421977e+26,3.346654697218482e+34
5.931717276155401,4.241103405421977e+26,3.346654697218482e+34
6.06071771413778,4.241103405421977e+26,3.346654697218482e+34
6.192118872221192,4.241103405421977e+26,3.346654697218482e+34
6.32596542821523,4.241103405421977e+26,3.346654697218482e+34
6.462302891391108,4.241103405421977e+26,3.346654697218482e+34
6.601177617955323,4.241103405421977e+26,3.346654697218482e+34
6.742636826811277,4.241103405421977e+26,3.346654697218482e+34
6.886728615614156,4.241103405421977e+26,3.346654697218482e+34
7.033501977124734,4.241103405421977e+26,3.346654697218482e+34
7.18300681586739,4.241103405421977e+26,3.346654697218482e+34
7.335293965098186,4.241103405421977e+26,3.346654697218482e+34
7.490415204088755,4.241103405421977e+26,3.346654697218482e+34
7.6484232757317265,4.241103405421977e+26,3.346654697218482e+34
7.809371904473991,4.241103405421977e+26,3.346654697218482e+34
7.97331581458352,4.241103405421977e+26,3.346654697218482e+34
8.140310748756223,4.241103405421977e+26,3.346654697218482e+34
8.310413487069086,4.241103405421977e+26,3.346654697218482e+34
8.483681866285927,4.241103405421977e+26,3.346654697218482e+34
8.660174799522645,4.241103405421977e+26,3.346654697218482e+34
8.839952296278227,4.241103405421977e+26,3.346654697218482e+34
9.023075482838644,4.241103405421977e+26,3.346654697218482e+34
9.209606623060475,4.241103405421977e+26,3.346654697218482e+34
9.399609139541203,4.241103405421977e+26,3.346654697218482e+34
