Unnamed: 0,z,a,H_natural,H_obs_km_s_Mpc
617,3.925831615928133,0.2030114055800054,3.459714325920196,273006057.45836264
616,3.969176178840782,0.2012406008581651,3.5055026692350477,276619215.6293376
615,4.0129021496618975,0.1994852423096761,3.551897212310919,280280209.0234546
614,4.057012884567734,0.19774519520242,3.5989059851947323,283989671.29171634
613,4.101511769267009,0.1960203259795049,3.646537124403001,287748244.4866408
612,4.146402219260791,0.1943105022490131,3.694798874335715,291556579.1738313
611,4.191687680104652,0.19261559277384,3.743699588709005,295415334.5450276
610,4.237371627673111,0.1909354674616216,3.793247732006883,299325178.5326632
609,4.283457568426457,0.1892699973547482,3.8434518809523577,303286787.9259505
608,4.32994903967985,0.1876190546204671,3.894320725998072,307300848.4885078
607,4.376849609874856,0.1859825125410704,3.945863072836857,311368055.0775564
606,4.424162878853332,0.1843602455041689,3.998087843932359,315489111.76470244
605,4.471892478133721,0.1827521289930511,4.051004080070052,319664731.9583278
604,4.520042071189806,0.1811580395771253,4.104620941928949,323895638.52761334
603,4.56861535373188,0.1795778549024466,4.158947711674185,328182563.9282099
602,4.617616053990429,0.1780114536823245,4.213993794570882,332526250.3295883
601,4.667047933002282,0.1764587156880145,4.2697687206194646,336927449.744082
600,4.716914784899276,0.1749195217394898,4.326282146212757,341386924.1576487
599,4.767220437199498,0.1733937536962935,4.383543855815215,345905445.6623786
