,z,a,H_natural,H_obs_km_s_Mpc
534,9.19249907625459,0.0981113652813268,10.305854757288458,813234998.8976322
533,9.282187366861047,0.09725557066028069,10.442322234449604,824003647.5204182
532,9.372664864256901,0.0964072408668956,10.580598024135274,834914990.0845144
531,9.463938513020459,0.09556631078782457,10.720706115553359,845970919.5783155
530,9.556015318838401,0.09473271587768417,10.862670816761302,857173354.1506343
529,9.648902349043578,0.09390639215409972,11.006516758917543,868524237.4461833
528,9.742606733157368,0.09308727619279508,11.152268900589664,880025538.9455304
527,9.83713566343698,0.09227530512272387,11.299952532120555,891679254.309633
526,9.932496395427469,0.0914704166212441,11.449593280052945,903487405.7289778
525,10.028696248518598,0.09067254890933482,11.601217111613234,915452042.2774004
524,10.125742606506696,0.08988164074685383,11.754850339255622,927575240.2706611
523,10.223642918161342,0.08909763142783769,11.910519625266925,939859103.6298131
522,10.322404697797143,0.08832046077584184,12.068251986433395,952305764.2494593
521,10.422035525850474,0.08755006913932191,12.228074798769974,964917382.3709387
520,10.522543049461277,0.08678639738705544,12.390015802312998,977696146.9605187
519,10.623934983060082,0.08602938690360284,12.554103105977319,990644276.0926702
518,10.726219108960093,0.08527897958480858,12.720365192478484,1003764017.3384771
517,10.829403277954478,0.08453511783334167,12.888830923320947,1017057648.159256
516,10.933495409919042,0.08379774455427424,13.059529543853406,1030527476.3054723
515,11.038503494420043,0.08306680315069968,13.232490688391778,1044175840.2209952
514,11.144435591327444,0.08234223751938853,13.407744385411045,1058005109.4527855
513,11.251299831433585,0.08162399204648191,13.585321062806887,1072017685.0660914
512,11.359104417077189,0.08091201160322348,13.765251553227765,1086216000.065203
511,11.467857622773007,0.08020624154172748,13.94756709947884,1100602519.8198752
510,11.577567795846893,0.07950662769078451,14.132299359998328,1115179742.497468
509,11.68824335707646,0.07881311635170381,14.319480414407376,1129950199.500886
508,11.799892801337505,0.07812565429419116,14.509142769134723,1144916455.912421
507,11.912524698255929,0.07744418875226378,14.701319363116621,1160081110.9435325
506,12.02614769286559,0.0767686674201997,14.896043573573685,1175446798.3906994
505,12.140770506271796,0.07609903844852342,15.093349221865113,1191016187.097376
504,12.256401936320682,0.07543525044002629,15.29327057942169,1206791981.4221656
503,12.373050858274535,0.07477725244582115,15.495842373758657,1222776921.7132957
502,12.490726225492985,0.07412499396143202,15.701099794569275,1238973784.7894616
501,12.609437070120185,0.07347842492291777,15.909078499900339,1255385384.4271357
500,12.729192503778146,0.0728374957030291,16.119814622410917,1272014571.8544455
499,12.850001718266046,0.07220215710739963,16.333344775715073,1288864236.2516763
498,12.971873986265724,0.07157236037077021,16.549706060809967,1305937305.2585144
497,13.094818662053479,0.0709480571532454,16.768936072590606,1323236745.4881246
496,13.21884518221796,0.07032919953658379,16.991072906451954,1340765563.0481236
495,13.343963066384559,0.06971574002051953,17.21615516498025,1358526804.0685916
494,13.47018191794604,0.06910763151911668,17.44422196473413,1376523555.2371702
493,13.597511424799617,0.06850482735715531,17.675312943117074,1394758944.3413684
492,13.725961360090633,0.06790728126654852,17.909468265342593,1413236140.818184
491,13.855541582962589,0.06731494738279165,18.14672863149289,1431958356.311104
490,13.986262039313972,0.06672778024144152,18.387135283672926,1450928845.2346306
489,14.118132762561615,0.06614573477462703,18.6307300132606,1470150905.3463938
488,14.25116387441077,0.06556876630759009,18.87755516825466,1489627878.326975
487,14.385365585632064,0.06499683055525637,19.127653660721784,1509363150.3675559
486,14.520748196845208,0.0644298836188363,19.381068974343858,1529360152.7654738
485,14.65732209930955,0.06386788198245584,19.63784517206691,1549622362.5277998
484,14.795097775721757,0.06331078250981609,19.898026903853484,1570153302.9830785
